params: 16.0M
optzone: 12 per-loop params -> wd=0, lr x64.0
/NHNHOME/WORKSPACE/26msit001_A/jinhyeok/envs/lvsm/lib/python3.12/site-packages/torch/nn/functional.py:2954: UserWarning: Mismatch dtype between input and weight: input dtype = c10::BFloat16, weight dtype = float, Cannot dispatch to fused implementation. (Triggered internally at /pytorch/aten/src/ATen/native/layer_norm.cpp:344.)
  return torch.rms_norm(input, normalized_shape, weight, eps)
Iter 000100 loss 9.8111 it/s 6.43
Iter 000200 loss 8.6469 it/s 8.37
Iter 000300 loss 7.4018 it/s 8.34
Iter 000400 loss 6.8069 it/s 8.26
Iter 000500 loss 6.5792 it/s 8.51
Iter 000600 loss 6.3354 it/s 8.35
Iter 000700 loss 6.3621 it/s 8.35
Iter 000800 loss 6.1862 it/s 8.43
Iter 000900 loss 6.0130 it/s 8.29
Iter 001000 loss 6.0214 it/s 8.40
Iter 001100 loss 5.9269 it/s 8.38
Iter 001200 loss 5.7859 it/s 8.31
Iter 001300 loss 5.7709 it/s 8.33
Iter 001400 loss 5.7608 it/s 8.32
Iter 001500 loss 5.7343 it/s 8.49
Iter 001600 loss 5.5406 it/s 8.61
Iter 001700 loss 5.3778 it/s 8.39
Iter 001800 loss 5.5372 it/s 8.35
Iter 001900 loss 5.4309 it/s 8.48
Iter 002000 loss 5.3130 it/s 8.50
Iter 002100 loss 5.1881 it/s 8.50
Iter 002200 loss 5.2547 it/s 8.56
Iter 002300 loss 5.1164 it/s 8.60
Iter 002400 loss 5.3019 it/s 8.38
Iter 002500 loss 5.3427 it/s 8.60
Iter 002600 loss 5.2581 it/s 8.49
Iter 002700 loss 5.2056 it/s 8.58
Iter 002800 loss 5.1015 it/s 8.49
Iter 002900 loss 5.1641 it/s 8.40
Iter 003000 loss 4.9034 it/s 8.49
Iter 003000 VAL loss 4.9344 ppl 138.99
Iter 003100 loss 4.9808 it/s 3.90
Iter 003200 loss 5.0429 it/s 8.23
Iter 003300 loss 4.9255 it/s 8.44
Iter 003400 loss 4.8129 it/s 8.33
Iter 003500 loss 4.6545 it/s 8.33
Iter 003600 loss 4.6982 it/s 8.24
Iter 003700 loss 4.8612 it/s 8.38
Iter 003800 loss 4.7047 it/s 8.58
Iter 003900 loss 4.7782 it/s 8.34
Iter 004000 loss 4.7057 it/s 8.35
Iter 004100 loss 4.7441 it/s 8.29
Iter 004200 loss 4.8382 it/s 8.24
Iter 004300 loss 4.7519 it/s 8.30
Iter 004400 loss 4.6747 it/s 8.61
Iter 004500 loss 4.9129 it/s 8.27
Iter 004600 loss 4.6593 it/s 8.51
Iter 004700 loss 4.7073 it/s 8.41
Iter 004800 loss 4.5265 it/s 8.44
Iter 004900 loss 4.5117 it/s 8.30
Iter 005000 loss 4.7497 it/s 8.43
Iter 005100 loss 4.5560 it/s 8.57
Iter 005200 loss 4.6524 it/s 8.63
Iter 005300 loss 4.4149 it/s 8.67
Iter 005400 loss 4.3985 it/s 8.62
Iter 005500 loss 4.3399 it/s 8.58
Iter 005600 loss 4.5850 it/s 8.63
Iter 005700 loss 4.4718 it/s 8.49
