params: 16.0M
optzone: 12 per-loop params -> wd=0, lr x64.0
/NHNHOME/WORKSPACE/26msit001_A/jinhyeok/envs/lvsm/lib/python3.12/site-packages/torch/nn/functional.py:2954: UserWarning: Mismatch dtype between input and weight: input dtype = c10::BFloat16, weight dtype = float, Cannot dispatch to fused implementation. (Triggered internally at /pytorch/aten/src/ATen/native/layer_norm.cpp:344.)
  return torch.rms_norm(input, normalized_shape, weight, eps)
Iter 000100 loss 9.7489 it/s 6.18
Iter 000200 loss 8.6269 it/s 8.06
Iter 000300 loss 7.4410 it/s 7.86
Iter 000400 loss 6.7926 it/s 7.88
Iter 000500 loss 6.6449 it/s 8.19
Iter 000600 loss 6.5300 it/s 7.93
Iter 000700 loss 6.2491 it/s 7.97
Iter 000800 loss 6.0515 it/s 7.96
Iter 000900 loss 6.1005 it/s 8.02
Iter 001000 loss 5.9263 it/s 8.03
Iter 001100 loss 5.9198 it/s 8.28
Iter 001200 loss 5.7950 it/s 8.28
Iter 001300 loss 5.8001 it/s 8.45
Iter 001400 loss 5.8257 it/s 8.25
Iter 001500 loss 5.8394 it/s 8.47
Iter 001600 loss 5.5205 it/s 8.42
Iter 001700 loss 5.7296 it/s 8.21
Iter 001800 loss 5.5024 it/s 8.17
Iter 001900 loss 5.6181 it/s 8.12
Iter 002000 loss 5.4011 it/s 8.23
Iter 002100 loss 5.3282 it/s 7.96
Iter 002200 loss 5.5148 it/s 8.30
Iter 002300 loss 5.2081 it/s 8.36
Iter 002400 loss 5.1090 it/s 8.25
Iter 002500 loss 5.1184 it/s 8.34
Iter 002600 loss 4.9841 it/s 8.21
Iter 002700 loss 5.1376 it/s 8.37
Iter 002800 loss 5.0568 it/s 8.52
Iter 002900 loss 5.0407 it/s 8.26
Iter 003000 loss 5.0319 it/s 8.37
Iter 003000 VAL loss 4.9079 ppl 135.35
Iter 003100 loss 4.9727 it/s 6.08
Iter 003200 loss 4.9807 it/s 8.37
Iter 003300 loss 4.8346 it/s 8.28
Iter 003400 loss 4.9530 it/s 8.55
Iter 003500 loss 5.0225 it/s 8.37
Iter 003600 loss 4.5653 it/s 8.45
Iter 003700 loss 4.7275 it/s 8.64
Iter 003800 loss 4.9193 it/s 8.45
Iter 003900 loss 4.6076 it/s 8.37
Iter 004000 loss 4.7913 it/s 8.37
Iter 004100 loss 4.8360 it/s 8.46
Iter 004200 loss 5.0345 it/s 8.28
Iter 004300 loss 4.7673 it/s 8.32
Iter 004400 loss 4.5675 it/s 8.19
Iter 004500 loss 4.7246 it/s 8.30
Iter 004600 loss 4.7002 it/s 8.40
Iter 004700 loss 4.6527 it/s 8.14
Iter 004800 loss 4.6989 it/s 8.38
Iter 004900 loss 4.4898 it/s 8.18
Iter 005000 loss 4.7134 it/s 8.23
Iter 005100 loss 4.4158 it/s 8.10
Iter 005200 loss 4.4536 it/s 8.39
Iter 005300 loss 4.2816 it/s 8.30
Iter 005400 loss 4.3062 it/s 8.27
Iter 005500 loss 4.5789 it/s 8.37
Iter 005600 loss 4.4244 it/s 8.39
Iter 005700 loss 4.4997 it/s 8.19
Iter 005800 loss 4.3701 it/s 8.35
Iter 005900 loss 4.2802 it/s 8.47
Iter 006000 loss 4.3073 it/s 8.18
Iter 006000 VAL loss 4.3248 ppl 75.55
Iter 006100 loss 4.3347 it/s 6.78
Iter 006200 loss 4.3711 it/s 8.38
Iter 006300 loss 4.4005 it/s 8.33
Iter 006400 loss 4.5322 it/s 8.36
Iter 006500 loss 4.2000 it/s 8.44
Iter 006600 loss 4.2137 it/s 8.25
Iter 006700 loss 4.2885 it/s 8.48
Iter 006800 loss 4.3570 it/s 8.23
Iter 006900 loss 4.1662 it/s 8.24
Iter 007000 loss 4.1506 it/s 8.32
Iter 007100 loss 4.4403 it/s 8.27
Iter 007200 loss 4.1733 it/s 8.34
Iter 007300 loss 4.3038 it/s 8.31
Iter 007400 loss 4.2066 it/s 8.24
Iter 007500 loss 4.2257 it/s 8.34
Iter 007600 loss 4.3142 it/s 8.36
Iter 007700 loss 4.4135 it/s 8.25
Iter 007800 loss 4.1155 it/s 8.27
Iter 007900 loss 4.1799 it/s 8.25
Iter 008000 loss 4.2419 it/s 8.37
Iter 008100 loss 4.2293 it/s 8.13
Iter 008200 loss 4.3520 it/s 8.27
Iter 008300 loss 4.1067 it/s 8.33
Iter 008400 loss 4.2866 it/s 8.20
Iter 008500 loss 3.8928 it/s 8.30
Iter 008600 loss 4.3470 it/s 8.41
Iter 008700 loss 4.1923 it/s 8.22
Iter 008800 loss 4.0555 it/s 8.29
Iter 008900 loss 3.9360 it/s 8.34
Iter 009000 loss 4.1777 it/s 8.29
Iter 009000 VAL loss 4.1165 ppl 61.35
Iter 009100 loss 4.2788 it/s 6.74
Iter 009200 loss 3.9141 it/s 8.22
Iter 009300 loss 4.2240 it/s 8.27
Iter 009400 loss 4.1840 it/s 8.37
Iter 009500 loss 4.3255 it/s 8.41
Iter 009600 loss 3.9582 it/s 8.10
Iter 009700 loss 3.9797 it/s 8.36
Iter 009800 loss 4.1820 it/s 8.19
Iter 009900 loss 3.8949 it/s 8.42
