params: 16.0M
/NHNHOME/WORKSPACE/26msit001_A/jinhyeok/envs/lvsm/lib/python3.12/site-packages/torch/nn/functional.py:2954: UserWarning: Mismatch dtype between input and weight: input dtype = c10::BFloat16, weight dtype = float, Cannot dispatch to fused implementation. (Triggered internally at /pytorch/aten/src/ATen/native/layer_norm.cpp:344.)
  return torch.rms_norm(input, normalized_shape, weight, eps)
Iter 000100 loss 9.8762 it/s 6.63
Iter 000200 loss 8.7165 it/s 8.91
Iter 000300 loss 7.4506 it/s 9.10
Iter 000400 loss 6.8242 it/s 8.72
Iter 000500 loss 6.5951 it/s 8.75
Iter 000600 loss 6.3466 it/s 8.56
Iter 000700 loss 6.3654 it/s 8.57
Iter 000800 loss 6.1869 it/s 8.63
Iter 000900 loss 6.0080 it/s 8.44
Iter 001000 loss 6.0096 it/s 8.72
Iter 001100 loss 5.9232 it/s 8.43
Iter 001200 loss 5.7712 it/s 8.90
Iter 001300 loss 5.7592 it/s 8.74
Iter 001400 loss 5.7713 it/s 8.55
Iter 001500 loss 5.7496 it/s 8.74
Iter 001600 loss 5.5648 it/s 8.89
Iter 001700 loss 5.4013 it/s 8.83
Iter 001800 loss 5.5757 it/s 8.91
Iter 001900 loss 5.4570 it/s 8.83
Iter 002000 loss 5.3582 it/s 8.86
Iter 002100 loss 5.2573 it/s 9.08
Iter 002200 loss 5.3428 it/s 8.83
Iter 002300 loss 5.2128 it/s 9.02
Iter 002400 loss 5.3830 it/s 9.17
Iter 002500 loss 5.4378 it/s 8.98
Iter 002600 loss 5.3527 it/s 9.10
Iter 002700 loss 5.3243 it/s 9.05
Iter 002800 loss 5.2252 it/s 9.03
Iter 002900 loss 5.2790 it/s 9.02
Iter 003000 loss 5.0159 it/s 8.88
Iter 003000 VAL loss 5.0501 ppl 156.04
Iter 003100 loss 5.0750 it/s 3.28
Iter 003200 loss 5.1604 it/s 9.08
Iter 003300 loss 5.0362 it/s 8.71
Iter 003400 loss 4.9313 it/s 9.24
Iter 003500 loss 4.7671 it/s 8.75
Iter 003600 loss 4.8089 it/s 8.95
Iter 003700 loss 4.9780 it/s 8.91
Iter 003800 loss 4.8226 it/s 8.85
Iter 003900 loss 4.9011 it/s 8.98
Iter 004000 loss 4.8226 it/s 8.98
Iter 004100 loss 4.8663 it/s 9.17
Iter 004200 loss 4.9674 it/s 8.81
