params: 16.0M
/NHNHOME/WORKSPACE/26msit001_A/jinhyeok/envs/lvsm/lib/python3.12/site-packages/torch/nn/functional.py:2954: UserWarning: Mismatch dtype between input and weight: input dtype = c10::BFloat16, weight dtype = float, Cannot dispatch to fused implementation. (Triggered internally at /pytorch/aten/src/ATen/native/layer_norm.cpp:344.)
  return torch.rms_norm(input, normalized_shape, weight, eps)
Iter 000100 loss 9.8311 it/s 6.60
Iter 000200 loss 8.6876 it/s 9.42
Iter 000300 loss 7.4797 it/s 9.05
Iter 000400 loss 6.7984 it/s 9.18
Iter 000500 loss 6.6410 it/s 9.32
Iter 000600 loss 6.5394 it/s 9.12
Iter 000700 loss 6.2510 it/s 9.39
Iter 000800 loss 6.0613 it/s 9.12
Iter 000900 loss 6.1059 it/s 8.99
Iter 001000 loss 5.9316 it/s 9.23
Iter 001100 loss 5.9319 it/s 8.98
Iter 001200 loss 5.7964 it/s 9.26
Iter 001300 loss 5.8210 it/s 9.31
Iter 001400 loss 5.8581 it/s 9.00
Iter 001500 loss 5.8728 it/s 9.44
Iter 001600 loss 5.5706 it/s 9.11
Iter 001700 loss 5.7824 it/s 9.08
Iter 001800 loss 5.5640 it/s 9.17
Iter 001900 loss 5.6982 it/s 8.89
Iter 002000 loss 5.4909 it/s 9.19
Iter 002100 loss 5.4396 it/s 9.18
Iter 002200 loss 5.6391 it/s 9.01
Iter 002300 loss 5.3355 it/s 8.84
Iter 002400 loss 5.2496 it/s 9.34
Iter 002500 loss 5.2656 it/s 9.11
Iter 002600 loss 5.1409 it/s 8.94
Iter 002700 loss 5.3077 it/s 9.28
Iter 002800 loss 5.2248 it/s 9.04
Iter 002900 loss 5.1682 it/s 9.14
Iter 003000 loss 5.1986 it/s 9.24
Iter 003000 VAL loss 5.0783 ppl 160.51
Iter 003100 loss 5.1451 it/s 6.69
Iter 003200 loss 5.1304 it/s 8.97
Iter 003300 loss 5.0029 it/s 9.13
Iter 003400 loss 5.1012 it/s 9.24
Iter 003500 loss 5.1800 it/s 8.91
Iter 003600 loss 4.7382 it/s 9.07
Iter 003700 loss 4.8693 it/s 9.02
Iter 003800 loss 5.0740 it/s 9.05
Iter 003900 loss 4.7537 it/s 9.29
Iter 004000 loss 4.9523 it/s 9.16
Iter 004100 loss 4.9904 it/s 9.13
Iter 004200 loss 5.2072 it/s 9.13
Iter 004300 loss 4.9356 it/s 9.28
Iter 004400 loss 4.7634 it/s 9.02
Iter 004500 loss 4.9319 it/s 9.10
Iter 004600 loss 4.9193 it/s 9.08
Iter 004700 loss 4.8584 it/s 9.19
Iter 004800 loss 4.9207 it/s 9.19
Iter 004900 loss 4.7746 it/s 8.97
Iter 005000 loss 4.9410 it/s 9.30
Iter 005100 loss 4.6551 it/s 9.37
Iter 005200 loss 4.7058 it/s 8.93
Iter 005300 loss 4.5373 it/s 9.44
Iter 005400 loss 4.5340 it/s 9.22
Iter 005500 loss 4.8107 it/s 9.19
Iter 005600 loss 4.6808 it/s 9.13
Iter 005700 loss 4.7149 it/s 9.17
Iter 005800 loss 4.6055 it/s 9.07
Iter 005900 loss 4.5400 it/s 9.25
Iter 006000 loss 4.5346 it/s 9.28
Iter 006000 VAL loss 4.5796 ppl 97.48
Iter 006100 loss 4.5693 it/s 7.38
Iter 006200 loss 4.6516 it/s 9.00
Iter 006300 loss 4.6173 it/s 9.16
Iter 006400 loss 4.8436 it/s 8.99
Iter 006500 loss 4.4587 it/s 9.29
Iter 006600 loss 4.4287 it/s 9.14
Iter 006700 loss 4.5905 it/s 9.03
Iter 006800 loss 4.6643 it/s 9.12
Iter 006900 loss 4.4246 it/s 9.17
Iter 007000 loss 4.3929 it/s 9.27
Iter 007100 loss 4.7233 it/s 9.23
Iter 007200 loss 4.4513 it/s 9.32
Iter 007300 loss 4.6097 it/s 8.90
Iter 007400 loss 4.4597 it/s 9.23
Iter 007500 loss 4.5300 it/s 9.18
Iter 007600 loss 4.5865 it/s 8.95
Iter 007700 loss 4.7127 it/s 8.77
Iter 007800 loss 4.3350 it/s 9.01
Iter 007900 loss 4.4637 it/s 9.07
Iter 008000 loss 4.4869 it/s 9.23
Iter 008100 loss 4.5072 it/s 9.32
Iter 008200 loss 4.5873 it/s 9.09
Iter 008300 loss 4.3704 it/s 9.13
Iter 008400 loss 4.5620 it/s 9.39
Iter 008500 loss 4.1691 it/s 8.90
Iter 008600 loss 4.6482 it/s 9.17
Iter 008700 loss 4.4825 it/s 9.09
Iter 008800 loss 4.3785 it/s 8.95
Iter 008900 loss 4.1762 it/s 9.24
Iter 009000 loss 4.4601 it/s 9.13
Iter 009000 VAL loss 4.3889 ppl 80.56
Iter 009100 loss 4.5300 it/s 7.30
Iter 009200 loss 4.1894 it/s 9.07
Iter 009300 loss 4.5279 it/s 9.16
Iter 009400 loss 4.4580 it/s 8.88
Iter 009500 loss 4.6034 it/s 9.04
Iter 009600 loss 4.2321 it/s 9.09
Iter 009700 loss 4.2187 it/s 8.82
Iter 009800 loss 4.4529 it/s 9.01
Iter 009900 loss 4.1536 it/s 8.94
Iter 010000 loss 4.4454 it/s 8.95
Iter 010100 loss 4.4414 it/s 9.09
Iter 010200 loss 4.3539 it/s 8.97
Iter 010300 loss 4.4640 it/s 8.90
Iter 010400 loss 4.3065 it/s 8.93
Iter 010500 loss 4.3330 it/s 9.32
Iter 010600 loss 4.2036 it/s 9.02
Iter 010700 loss 4.5131 it/s 9.02
Iter 010800 loss 4.5299 it/s 9.20
Iter 010900 loss 4.2241 it/s 8.81
Iter 011000 loss 4.5158 it/s 9.10
Iter 011100 loss 4.3204 it/s 8.79
Iter 011200 loss 4.6269 it/s 8.95
Iter 011300 loss 4.4537 it/s 8.82
Iter 011400 loss 4.3646 it/s 8.84
Iter 011500 loss 4.3203 it/s 9.01
Iter 011600 loss 4.3868 it/s 8.86
Iter 011700 loss 4.4037 it/s 9.05
Iter 011800 loss 4.3976 it/s 9.19
Iter 011900 loss 4.3097 it/s 8.92
Iter 012000 loss 4.3843 it/s 9.24
Iter 012000 VAL loss 4.3395 ppl 76.67
FINAL {"expname": "lm_naive_s96", "val_loss": 4.3395147025585175, "ppl": 76.6703223970859, "params_M": 16.015622, "steps": 12000, "tokens": 196608000}
